,Ratio
2023-04-09,75.17324107390944
2023-04-10,82.67844307414506
2023-04-11,84.84605934516105
2023-04-12,81.88081364301767
2023-04-13,81.33214940421644
2023-04-14,92.41903772749308
2023-04-15,83.46435095258731
2023-04-16,81.43905122231197
2023-04-17,77.54318691396281
2023-04-18,82.19438672322902
2023-04-19,79.7092860386614
2023-04-20,79.09739610587434
2023-04-21,79.69330490549103
2023-04-22,79.05996994828422
2023-04-23,81.64675854580862
2023-04-24,81.02030567584633
2023-04-25,91.71698781160288
2023-04-26,79.232201733661
2023-04-27,86.93467821250681
2023-04-28,81.28360229567119
2023-04-29,77.33489249453427
2023-04-30,83.95871485412691
2023-05-01,83.57920900318959
2023-05-02,89.37880321106566
2023-05-03,80.46203910747678
2023-05-04,81.58672052083858
2023-05-05,86.00569804210443
2023-05-06,86.58888380018155
2023-05-07,83.4427487775409
2023-05-08,82.09414605706965
2023-05-09,82.90403149661
2023-05-10,81.11260380590859
2023-05-11,81.38891603119255
2023-05-12,80.39482082946515
2023-05-13,78.49254673323793
2023-05-14,79.83322362932009
2023-05-15,80.5960411307968
2023-05-16,86.72556164809029
2023-05-17,87.09525763490298
2023-05-18,84.82187377424296
2023-05-19,80.13890221661707
2023-05-20,79.48706395267148
2023-05-21,80.16649390951471
2023-05-22,80.59442017419246
2023-05-23,79.81386338125559
2023-05-24,79.97250759265322
2023-05-25,85.63196885128096
2023-05-26,81.03381454311129
2023-05-27,82.0550602562974
2023-05-28,80.26999156604066
2023-05-29,81.0380060064559
2023-05-30,79.38369839342252
2023-05-31,78.59078023734108
2023-06-01,80.92954273190138
2023-06-02,82.03623136889807
2023-06-03,80.49062007044444
2023-06-04,84.23547395429607
2023-06-05,86.18947357951151
2023-06-06,84.7436333047366
2023-06-07,86.01211018150703
2023-06-08,82.50213035670468
2023-06-09,81.70826885260695
2023-06-10,80.28926172603404
2023-06-11,79.0335350902222
2023-06-12,82.37058663695937
2023-06-13,82.83899151264326
2023-06-14,82.47389818284145
2023-06-15,79.65545949080735
2023-06-16,83.36003483294425
2023-06-17,78.16145624466711
2023-06-18,76.7322278960554
2023-06-19,84.88671950188369
2023-06-20,83.29228130746174
2023-06-21,79.36341332362277
2023-06-22,78.38509934743824
2023-06-23,74.47439009853888
2023-06-24,81.04935978155184
2023-06-25,79.5958894459181
2023-06-26,79.31991789373238
