ValueTime,Ratio
2023-07-06,82.80453091946313
2023-07-07,85.5667357785812
2023-07-08,76.63011761294959
2023-07-09,79.13996757883419
2023-07-10,82.03519148679578
2023-07-11,82.05353960431722
2023-07-12,84.12214680057723
2023-07-13,80.68616659253713
2023-07-14,79.75737610961933
2023-07-15,87.78085499158503
2023-07-16,79.0431866355553
2023-07-17,89.41813039653073
2023-07-18,87.72242316552438
2023-07-19,82.89939456213595
2023-07-20,86.0588596733033
2023-07-21,83.37685778297364
2023-07-22,82.34117870936932
2023-07-23,87.01007408061682
2023-07-24,80.38346538747723
2023-07-25,92.13578196656944
2023-07-26,88.33959561868859
2023-07-27,83.34169381034701
2023-07-28,88.67385053890791
2023-07-29,83.2456721096473
2023-07-30,76.72044600268464
2023-07-31,84.15650714337106
